customer_bkey,cust_marital_status,cust_area,age_days,acct_curr_crlimit,med_monthly_tran_amt_12_effective,acct_num_cards_classic_12,acct_num_cards_platinum_12,tot_tran_amt_child_effective,tot_tran_amt_pharm_hosp_effective,tot_tran_amt_auto_effective,acct_avail_cash,acct_dayssince_first_acct_open,cust_amla_rind,cust_unsup_seg,score,quantil_rank
0,M,Kalinga-Apayao,5475,23703.0,904.0,3,3,270.0,1301.0,1262.0,12859.0,730,H,4,0.66,5
1,S,Palawan,1825,12359.0,1731.0,1,0,1375.0,1598.0,842.0,12836.0,2190,N,3,0.53,1
2,U,Guimaras,4380,13156.0,1499.0,1,0,499.0,1252.0,36.0,5969.0,1460,N,2,0.56,2
3,M,Catanduanes,6570,25734.0,2440.0,0,0,1950.0,601.0,1642.0,4930.0,6935,U,7,0.64,4
4,S,Sorsogon,7665,13047.0,533.0,1,0,111.0,610.0,2988.0,11164.0,4015,U,3,0.65,5
5,D,Camarines Norte,7665,48906.0,343.0,0,0,2266.0,417.0,498.0,105562.0,1460,N,5,0.8,9
6,U,Quezon Province,24455,6477.0,57.0,3,1,439.0,1652.0,4620.0,22344.0,4380,H,6,0.74,8
7,S,Metropolitan Manila,5840,42250.0,2632.0,2,1,1141.0,381.0,363.0,5078.0,1460,U,3,0.65,5
8,S,Ilocos Sur,10950,8836.0,311.0,0,1,84.0,79.0,566.0,15711.0,2555,U,4,0.68,6
9,D,Bulacan,23360,6973.0,970.0,2,1,324.0,1486.0,562.0,45312.0,11315,L,3,0.78,9
10,D,Bulacan,14965,41281.0,115.0,1,3,2742.0,57.0,1020.0,31734.0,365,U,3,0.8,9
11,M,Guimaras,9125,14445.0,25.0,2,0,43.0,115.0,696.0,1656.0,365,N,1,0.61,3
12,O,Davao Del Sur,7300,68.0,307.0,0,0,1964.0,1040.0,119.0,52969.0,2555,L,-1,0.58,2
13,M,Manila,9490,18578.0,994.0,3,1,1397.0,648.0,292.0,35031.0,365,N,1,0.74,8
14,M,Cebu,1460,5820.0,230.0,2,1,51.0,303.0,22.0,24641.0,730,U,2,0.51,1
15,M,Nueva Vizcaya,15695,7500.0,337.0,0,1,190.0,1239.0,4270.0,3818.0,730,H,1,0.66,5
16,M,Sulu,1460,12727.0,159.0,2,3,1020.0,28.0,410.0,1691.0,30660,L,2,0.44,0
17,M,Guimaras,1460,40906.0,1291.0,2,1,1967.0,707.0,836.0,3967.0,365,L,4,0.52,1
18,D,Basilan,27576,24016.0,322.0,1,1,1565.0,36.0,156.0,14117.0,1825,L,7,0.8,9
19,M,Quezon Province,1095,29672.0,1002.0,1,0,1369.0,842.0,1778.0,52031.0,1095,N,4,0.59,3
20,U,Sarangani,730,21531.0,64.0,2,0,1154.0,346.0,919.0,14938.0,1460,N,-1,0.46,0
21,M,Sarangani,5475,4070.0,526.0,1,1,390.0,4980.0,185.0,45906.0,0,N,2,0.64,4
22,U,Quezon Province,1460,16312.0,1440.0,1,1,2366.0,342.0,161.0,8938.0,3285,N,2,0.49,0
23,M,Basilan,1825,2562.0,512.0,2,0,147.0,1391.0,260.0,8602.0,1825,L,4,0.46,0
24,D,Davao Del Sur,21900,58250.0,50.0,0,0,760.0,2232.0,1084.0,4777.0,730,L,2,0.77,8
25,U,Manila,3650,19844.0,43.0,2,1,1168.0,22.0,1620.0,2184.0,-31956,L,6,0.53,1
26,M,Manila,4380,6129.0,332.0,2,2,320.0,1198.0,684.0,1393.0,1095,U,-1,0.5,1
27,M,Lanao Del Norte,9855,57594.0,2776.0,3,2,1480.0,1343.0,346.0,2744.0,4015,N,1,0.69,6
28,M,Tarlac,1095,17109.0,890.0,3,0,1316.0,2898.0,100.0,14180.0,365,L,2,0.51,1
29,M,Guimaras,11680,9422.0,453.0,2,1,804.0,1175.0,266.0,5180.0,0,L,5,0.65,5
30,M,Batangas,5475,6156.0,745.0,0,1,1728.0,756.0,748.0,36562.0,365,L,6,0.65,5
31,S,Manila,21170,3029.0,374.0,2,0,85.0,664.0,1310.0,5629.0,1095,H,-1,0.66,5
32,M,Cebu,8395,11656.0,3784.0,1,2,880.0,1537.0,367.0,38562.0,1825,H,6,0.72,7
33,S,Southern Leyte,-4380,1743.0,3904.0,1,1,838.0,90.0,2696.0,12648.0,365,N,5,0.53,1
34,U,Mindoro Oriental,2190,12320.0,116.0,1,1,3618.0,2104.0,168.0,52062.0,2920,L,4,0.59,3
35,S,Lanao Del Norte,1460,27188.0,176.0,3,0,1526.0,2256.0,1016.0,37094.0,365,L,3,0.59,3
36,S,Davao del Norte,10585,42781.0,1459.0,1,2,3186.0,1187.0,2000.0,2682.0,3650,L,6,0.68,6
37,M,Isabela,10585,5684.0,2562.0,0,1,786.0,3382.0,3588.0,12117.0,3285,N,4,0.66,5
38,U,Guimaras,6570,15672.0,1184.0,0,0,3204.0,740.0,1437.0,3193.0,6935,L,-1,0.58,2
39,M,Camarines Norte,730,17203.0,786.0,1,1,1530.0,348.0,2090.0,30688.0,1095,L,2,0.51,1
40,U,Siquijor,6935,6891.0,658.0,1,2,164.0,1162.0,1145.0,298.0,2555,U,2,0.5,1
41,M,Batanes,14965,22938.0,332.0,2,0,10.0,129.0,267.0,8219.0,1460,H,1,0.73,7
42,S,Marinduque,5840,278.0,480.0,2,1,132.0,452.0,401.0,3953.0,1095,N,2,0.48,0
43,M,Manila,365,4199.0,35.0,2,0,1143.0,2160.0,1339.0,7828.0,2555,N,1,0.33,0
44,D,Mindoro Oriental,2555,30594.0,1249.0,3,0,435.0,679.0,1791.0,43844.0,12045,U,-1,0.64,4
45,D,Sarangani,1825,2568.0,304.0,1,0,1578.0,574.0,1359.0,31609.0,4015,N,2,0.5,1
46,S,Camarines Norte,13140,2168.0,329.0,2,1,1125.0,1795.0,186.0,22969.0,3650,U,-1,0.66,5
47,D,Camarines Norte,9125,4637.0,4920.0,2,1,600.0,1381.0,125.0,11883.0,2920,H,5,0.62,4
48,S,Quezon Province,4015,673.0,890.0,2,0,273.0,1157.0,1370.0,24703.0,5475,N,1,0.53,1
49,D,Maguindanao,730,10875.0,1792.0,2,1,539.0,248.0,731.0,15250.0,3285,L,2,0.44,0
50,D,Sarangani,9490,12211.0,471.0,1,1,2160.0,453.0,518.0,37125.0,730,U,3,0.71,7
51,D,Quirino Province,1825,12070.0,2060.0,1,0,946.0,458.0,1380.0,7352.0,5475,N,5,0.49,0
52,D,Zamboanga Del Norte,13140,544.0,722.0,3,1,18.0,5852.0,428.0,44750.0,730,L,2,0.65,5
53,D,Guimaras,32120,20906.0,93.0,1,0,1503.0,72.0,272.0,53250.0,730,N,1,0.86,9
54,M,Maguindanao,4380,12828.0,1488.0,2,3,683.0,65.0,3494.0,36469.0,2190,U,6,0.66,5
55,D,Surigao del Norte,6205,6820.0,1664.0,0,1,1847.0,300.0,5270.0,2561.0,1825,L,2,0.54,1
56,S,Kalinga-Apayao,14965,13742.0,602.0,1,0,2066.0,214.0,716.0,11711.0,365,H,2,0.72,7
57,S,Tawi-Tawi,5840,13891.0,792.0,3,0,657.0,1212.0,800.0,15977.0,1095,U,7,0.65,4
58,D,Camarines Sur,8030,11969.0,73.0,2,0,1120.0,336.0,182.0,27828.0,1095,U,4,0.68,6
59,M,Sarangani,5475,41844.0,1235.0,2,1,49.0,1245.0,650.0,13414.0,730,L,1,0.69,6
60,U,Lanao Del Norte,2920,25031.0,8.0,2,0,190.0,156.0,3390.0,3502.0,2190,N,4,0.53,1
61,U,South Cotabato,4015,7176.0,117.0,0,0,387.0,1303.0,104.0,19234.0,6935,N,-1,0.58,2
62,U,Camarines Norte,23725,1288.0,196.0,0,0,1570.0,940.0,2236.0,4020.0,7300,U,1,0.62,3
63,D,Cavite,11315,58875.0,327.0,2,0,82.0,5264.0,235.0,64750.0,4745,L,2,0.82,9
64,D,Sarangani,3285,4078.0,1411.0,2,0,608.0,1436.0,852.0,2006.0,1825,U,2,0.46,0
65,M,Davao del Norte,9490,12625.0,1317.0,2,0,1164.0,261.0,1053.0,25031.0,1460,N,-1,0.71,7
66,D,Palawan,14965,5918.0,714.0,1,0,429.0,886.0,25.0,34781.0,1460,N,7,0.72,7
67,M,Bataan,-19181,9648.0,4870.0,2,1,323.0,2080.0,230.0,16219.0,0,N,2,0.75,8
68,M,Agusan Del Sur,3285,51594.0,31.0,0,1,349.0,1622.0,590.0,23203.0,3285,H,4,0.68,6
69,D,Lanao Del Norte,2555,15305.0,2560.0,0,0,764.0,2840.0,622.0,3510.0,2920,L,3,0.51,1
70,S,Pangasinan,15695,16938.0,192.0,3,0,133.0,122.0,364.0,7586.0,730,N,4,0.71,7
71,M,Guimaras,2555,16859.0,2260.0,2,0,5236.0,426.0,3154.0,37562.0,730,U,4,0.62,4
72,M,Kalinga-Apayao,9490,1972.0,1455.0,2,0,2982.0,372.0,3760.0,16812.0,1460,U,7,0.63,4
73,M,Camarines Norte,5475,10234.0,1263.0,3,1,1416.0,222.0,83.0,12062.0,730,N,-1,0.62,4
74,U,Zamboanga Del Sur,365,5410.0,892.0,2,1,3006.0,3704.0,555.0,6145.0,2920,L,6,0.31,0
75,S,Quezon Province,1460,40062.0,1291.0,1,0,794.0,732.0,2360.0,87938.0,2920,U,1,0.64,4
